title,year,datasets,display_author_names,raw_author_names,doi,abstract,institution_display_names,raw_affiliation_strings,detailed_affiliations,original_keywords,original_agency,keywords
"""Where have all the volunteers gone?” Is it the economy?",2022,,,,https://doi.org/10.1016/j.ijsu.2020.04.018,,University College London; King's College School; Barts Health NHS Trust; King's College London; Imperial College Healthcare NHS Trust; Queen Mary University of London,"Imperial College Healthcare NHS Trust, London, United Kingdom; Barts Health NHS Trust, London, United Kingdom; GKT School of Medical Education, King's College London, United Kingdom; IJS Publishing Group, United Kingdom; Barts and the London School of Medicine and Dentistry, Queen Mary University of London, United Kingdom; UCL Medical School, University College London, United Kingdom","Imperial College Healthcare NHS Trust, London, United Kingdom; Barts Health NHS Trust, London, United Kingdom; GKT School of Medical Education, King's College London, United Kingdom; IJS Publishing Group, United Kingdom; Barts and the London School of Medicine and Dentistry, Queen Mary University of London, United Kingdom; UCL Medical School, University College London, United Kingdom",Pandemic; Coronavirus disease 2019 (COVID-19); Recession; Social distance; Outbreak; Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); 2019-20 coronavirus outbreak; Isolation (microbiology); Workforce; Medicine; Global recession; Economic sector; Development economics; Coronavirus; Economic growth; Economics; Virology; Economy; Disease; Pathology; Infectious disease (medical specialty); Keynesian economics; Microbiology; Biology,Atlanta,"Pandemic, Coronavirus disease 2019 (COVID-19), Recession, Social distance, Outbreak, Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), 2019-20 coronavirus outbreak, Isolation (microbiology), Workforce, Medicine, Global recession, Economic sector, Development economics, Coronavirus, Economic growth, Economics, Virology, Economy, Disease, Pathology, Infectious disease (medical specialty), Keynesian economics, Microbiology, Biology"
A Change of PACE: A Comparison of the 1994 and 1999 Pollution Abatement Costs and Expenditures Survey,2005,,,,https://doi.org/10.1111/j.1468-2354.2008.00478.x,,Georgetown University; University of Calgary,"Georgetown University, U.S.A.; University of Calgary, Canada","Georgetown University, U.S.A.; University of Calgary, Canada",Endogeneity; Economics; Trade volume; Haven; Pollution haven hypothesis; Pollution; Econometrics; International economics; Natural resource economics; Agricultural economics; International trade; Environmental regulation; Ecology; Mathematics; Combinatorics; Biology,Boston,"Endogeneity, Economics, Trade volume, Haven, Pollution haven hypothesis, Pollution, Econometrics, International economics, Natural resource economics, Agricultural economics, International trade, Environmental regulation, Ecology, Mathematics, Combinatorics, Biology"
A Change of PACE: A Comparison of the 1994 and 1999 Pollution Abatement Costs and Expenditures Survey,2005,,,,https://doi.org/10.1111/j.1468-2354.2008.00478.x,,Georgetown University; University of Calgary,"Georgetown University, U.S.A.; University of Calgary, Canada","Georgetown University, U.S.A.; University of Calgary, Canada",Endogeneity; Economics; Trade volume; Haven; Pollution haven hypothesis; Pollution; Econometrics; International economics; Natural resource economics; Agricultural economics; International trade; Environmental regulation; Ecology; Mathematics; Combinatorics; Biology,Boston,"Endogeneity, Economics, Trade volume, Haven, Pollution haven hypothesis, Pollution, Econometrics, International economics, Natural resource economics, Agricultural economics, International trade, Environmental regulation, Ecology, Mathematics, Combinatorics, Biology"
A Closer Look at the Managed Care Backlash,2006,,,,https://doi.org/10.1097/01.mlr.0000208155.10817.6d,,Cornell University; Policy Analysis (United States); Agency for Healthcare Research and Quality; National Bureau of Economic Research,"Department of Policy Analysis and Management, Cornell University, Ithaca, New York; Center for Financing, Access and Cost Trends, Agency for Healthcare Research and Quality, Rockville, Maryland; National Bureau of Economic Research, Cambridge, Massachusetts.","Department of Policy Analysis and Management, Cornell University, Ithaca, New York; Center for Financing, Access and Cost Trends, Agency for Healthcare Research and Quality, Rockville, Maryland; National Bureau of Economic Research, Cambridge, Massachusetts.",Managed care; Popularity; Health plan; Demographic economics; Demography; Health care; Fell; Business; Medicine; Gerontology; Actuarial science; Psychology; Economics; Geography; Economic growth; Sociology; Social psychology; Cartography,Washington,"Managed care, Popularity, Health plan, Demographic economics, Demography, Health care, Fell, Business, Medicine, Gerontology, Actuarial science, Psychology, Economics, Geography, Economic growth, Sociology, Social psychology, Cartography"
A Comparison of Firm Age in the Survey of Business Owners and the Longitudinal Business Database,2020,,,,,,,,,Database; Interpretation (philosophy); Business; Measure (data warehouse); Longitudinal data; Survey data collection; Statistics; Computer science; Data mining; Mathematics; Programming language,Atlanta,"Database, Interpretation (philosophy), Business, Measure (data warehouse), Longitudinal data, Survey data collection, Statistics, Computer science, Data mining, Mathematics, Programming language"
"A Comparison of Upward and Downward Intergenerational Mobility in Canada, Sweden and the United States",2014,,,,https://doi.org/10.1016/j.labeco.2014.03.013,,Stockholm University; Federal Reserve Bank of Chicago; University of Ottawa,"Federal Reserve Bank of Chicago, United States; University of Ottawa CANADA; SOFI, Stockholm University, Sweden","Federal Reserve Bank of Chicago, United States; University of Ottawa CANADA; SOFI, Stockholm University, Sweden",Earnings; Social mobility; Demographic economics; Economics; Distribution (mathematics); Inequality; Income distribution; Labour economics; Econometrics; Sociology; Mathematics; Mathematical analysis; Social science; Accounting,Chicago,"Earnings, Social mobility, Demographic economics, Economics, Distribution (mathematics), Inequality, Income distribution, Labour economics, Econometrics, Sociology, Mathematics, Mathematical analysis, Social science, Accounting"
"A Comparison of Upward and Downward Intergenerational Mobility in Canada, Sweden and the United States",2014,,,,https://doi.org/10.1016/j.labeco.2014.03.013,,Stockholm University; Federal Reserve Bank of Chicago; University of Ottawa,"Federal Reserve Bank of Chicago, United States; University of Ottawa CANADA; SOFI, Stockholm University, Sweden","Federal Reserve Bank of Chicago, United States; University of Ottawa CANADA; SOFI, Stockholm University, Sweden",Earnings; Social mobility; Demographic economics; Economics; Distribution (mathematics); Inequality; Income distribution; Labour economics; Econometrics; Sociology; Mathematics; Mathematical analysis; Social science; Accounting,Chicago,"Earnings, Social mobility, Demographic economics, Economics, Distribution (mathematics), Inequality, Income distribution, Labour economics, Econometrics, Sociology, Mathematics, Mathematical analysis, Social science, Accounting"
A Comprehensive Overview of Unit Level Modeling of Survey Data for Small Area Estimation Under Informative Sampling,2023,,,,https://doi.org/10.1093/jssam/smad020,,"United States Census Bureau; University of California, Santa Cruz; University of Missouri","University of Missouri Professor in the Department of Statistics, , 146 Middlebush Hall, Columbia, MO 65211-6100, USA and U.S. Census Bureau, 4600 Silver Hill Road, Washington, DC 20233-9100, USA; University of California Santa Cruz Assistant Professor in the Department of Statistics, , 1156 High St, Santa Cruz, CA 95064, USA; U.S. Census Bureau Principal Researcher in the , 4600 Silver Hill Road, Washington, DC 20233-9100, USA","University of Missouri Professor in the Department of Statistics, , 146 Middlebush Hall, Columbia, MO 65211-6100, USA and U.S. Census Bureau, 4600 Silver Hill Road, Washington, DC 20233-9100, USA; University of California Santa Cruz Assistant Professor in the Department of Statistics, , 1156 High St, Santa Cruz, CA 95064, USA; U.S. Census Bureau Principal Researcher in the , 4600 Silver Hill Road, Washington, DC 20233-9100, USA",Sampling (signal processing); Unit (ring theory); Small area estimation; Computer science; Estimation; Bayesian probability; Sampling design; Data mining; Survey data collection; Statistics; Econometrics; Artificial intelligence; Mathematics; Engineering; Population; Mathematics education; Demography; Systems engineering; Filter (signal processing); Sociology; Computer vision,Missouri,"Sampling (signal processing), Unit (ring theory), Small area estimation, Computer science, Estimation, Bayesian probability, Sampling design, Data mining, Survey data collection, Statistics, Econometrics, Artificial intelligence, Mathematics, Engineering, Population, Mathematics education, Demography, Systems engineering, Filter (signal processing), Sociology, Computer vision"
A Concordance Between Ten-Digit U.S. Harmonized System Codes and SIC/NAICS Product Classes and Industries,2012,,,,https://doi.org/10.3233/jem-2012-0351,,Yale University; Federal Reserve Board of Governors; In-Q-Tel; Federal Reserve,"Fax: +1 202 736 1937; Board of Governors of the Federal Reserve System,
 Washington, DC, USA; Tel.: +1 202 452 2980; E-mail:; Yale School of Management and NBER, New Haven, CT, USA","Fax: +1 202 736 1937; Board of Governors of the Federal Reserve System,
 Washington, DC, USA; Tel.: +1 202 452 2980; E-mail:; Yale School of Management and NBER, New Haven, CT, USA",Product (mathematics); Matching (statistics); Computer science; Production (economics); Concordance; International trade; Yield (engineering); Industrial organization; Economics; Mathematics; Microeconomics; Statistics; Medicine; Materials science; Geometry; Internal medicine; Metallurgy,Boston,"Product (mathematics), Matching (statistics), Computer science, Production (economics), Concordance, International trade, Yield (engineering), Industrial organization, Economics, Mathematics, Microeconomics, Statistics, Medicine, Materials science, Geometry, Internal medicine, Metallurgy"
A Crosswalk from the Business R&D and Innovation Survey (BRDIS) and the Survey of Industrial Research and Development (SIRD) to the Longitudinal Business Database (LBD) and the Standard Statistical Establishment List (SSEL),2023,,,,,,,,,business; data; ssel; brdis; sird,Philadelphia,
