project_id,project_pi,project_title,reason
8,Yoonsoo Lee,Do Plants Move? - Evidence of Relocation in U.S. Manufacturing Plants,No research outputs found
13,Dean M Prestegaard,Evaluating the Economic Impact of an Economic Development Program: Measuring the Performance of the Manufacturing Extension Partnership,No research outputs found
26,Vanessa V Tinsley,Firms and Layoffs: The Impact of Unionization on Involuntary Job Loss,No research outputs found
29,Vincent K Fu,How many melting pots?,No research outputs found
52,Ethan G Lewis,Can the Location of Labor Intensive Manufacturing Account for the Employment of Foreign-Born Workers in the US?,No research outputs found
53,Anna Aizer,"Covering Kids: Evaluating Efforts to the Reduce the Number of Uninsured Children, Evidence from CHIP",No research outputs found
55,David Burress,Disaggregated Impacts of Highway Infrastructure on Regional Investment and Productivity,No research outputs found
57,Russell Hillberry,"Explaining Home Bias in Consumption: Production Location, Magnification, and Hysteresis",No research outputs found
70,Andrew K Hildreth,Using Matched Employer-Employee Data to Examine Labor Market Dynamics and the Quality of SIPP/CPS Data,No research outputs found
88,Dean R Lillard,The Effects of Cigarette Price and Tax Increases on Decisions to Quit Smoking,No research outputs found
99,Meredith A Minkler,Using the ACS for an ecological study of grandparents raising grandchildren,No research outputs found
100,Kimberly N Bayard,Survey Data on Capacity Utilization and Plant Work Patterns in U.S. Manufacturing,No research outputs found
106,Ann C Schatzer,WO98-02  Input Database for a Pension and Retirement Income Microsimulation Model,No research outputs found
110,J Bradford Jensen,CM98-06  Spillovers from Large Manufacturing Plants in the U.S. & Pennsylvania,No research outputs found
111,Wayne Gray,"BR98-04  An Analysis of the Marginal Willingness to Pay for Air Quality in the U.S., 1974-93",No research outputs found
114,David C Ribar,WO98-10  Food Stamp Participation and the Employment Prospects of Low-Skill Workers,No research outputs found
115,Alicia Robb,"WO00-01-01  Determinants of Business Growth and Survival: the Role of Gender, Race and Ethnicity",No research outputs found
133,Ann C Schatzer,CB99-10 (BR99-03)  Top Management Team Cognitive Orientation toward Foreign Operations and Markets: A Study of its Impact on the Magnitude of Foreign R&D,No research outputs found
