Title,Year,Agency,Keywords
"Entry, Expansion, and Intensity in the U.S. Export Boom, 1987-1992",2004,Boston,intensity export;export boom
Product Choice and Product Switching,2003,Boston,product;switching
Plants and Productivity in International Trade,2003,Boston,trade;productivity international
Why Some Firms Export,2004,Boston,firms export
The Deaths of Manufacturing Plants,2002,Boston,plants;manufacturing
Facing The Dragon: Prospects For US Manufacturers in the Coming Decade,2004,Boston,prospects manufacturers;manufacturers coming
"Importers, Exporters, and Multinationals: A Portrait of Firms in the U.S. that Trade Goods",2009,Boston,trade goods;portrait firms;multinationals portrait
"Importers, Exporters, and Multinationals: A Portrait of Firms in the U.S. that Trade Goods",2005,Boston,trade goods;portrait firms;multinationals portrait
"Importers, Exporters, and Multinationals: A Portrait of Firms in the U.S. that Trade Goods",2005,Boston,trade goods;portrait firms;multinationals portrait
"Trade Costs, Firms and Productivity",2006,Boston,trade costs;productivity
Plants and Productivity in International Trade,2003,Boston,trade;productivity international
Exporting and Productivity in the US,2004,Boston,productivity;exporting
Assessing the Impact of Trade Liberalization on Import-Competing Industries in the Appalachian Region,2004,Boston,trade liberalization;impact trade;appalachian region
"Importers, Exporters, and Multinationals: A Portrait of Firms in the U.S. that Trade Goods",2005,Boston,trade goods;portrait firms;multinationals portrait
Why Some Firms Export,2001,Boston,firms export
Factor Price Equality and the Economies of the United States,2001,Boston,united states;price equality
Product Choice and Product Switching,2005,Boston,product;switching
"Falling Trade Costs, Heterogeneous Firms, and Industry Dynamics",2004,Boston,trade costs;industry dynamics;heterogeneous firms
Survival of the Best Fit: Exposure to Low Wage Countries and the (Uneven) Growth of US Manufacturing Plants,2006,Boston,wage countries;growth manufacturing;best fit;countries uneven;exposure
How Offshore Work Affects Your Industry,2004,Boston,work affects;offshore work
"Firm Structure, Multinationals, and Manufacturing Plant Deaths",2007,Boston,structure multinationals;plant deaths
Wage and Productivity Stability in U.S. Manufacturing Plants,2008,Michigan,wage productivity;stability manufacturing
Explaining Home Bias in Consumption: The Role of Intermediate Input Trade,2002,Washington,trade;role intermediate;intermediate input
"Evaluating the 'Export Destination"" field in the 1997 Commodity Flow Survey",2003,Washington,survey;flow;field 1997
Intra-national Home Bias: Some Explanations,2003,Washington,national home;intra national
A method for measuring the efficiency gap between average and best practice energy use: The ENERGY STAR industrial energy performance indicator,2005,Washington,energy;indicator;average best;best practice;efficiency;gap;industrial;use
Standard Errors for a Consistent Estimator of the Normal-Gamma Stochastic Frontier Model,2000,Washington,stochastic frontier;frontier model;consistent estimator
Two Approaches for Measuring the Efficiency Gap Between Average and Best Practice Energy Use: The LIEF Model 2.0 and the ENERGY STAR(tm) Performance Indicator,2003,Washington,energy;use lief;approaches measuring;average;best;efficiency;gap;indicator
Pollution Abatement Expenditures and Plant-Level Productivity: A Production Function Approach,2003,Boston,productivity production;level;abatement expenditures
A Change of PACE: A Comparison of the 1994 and 1999 Pollution Abatement Costs and Expenditures Survey,2004,Boston,survey;comparison;1994 1999;1999 pollution;abatement
Assessing multi-dimensional performance: environmental and economic outcomes,2006,Boston,performance environmental;outcomes
"Plant Vintage, Technology, and Environmental Regulation",2003,Boston,vintage technology;technology environmental
Assessing Multi-Dimensional Performance: Environmental and Economic Outcomes,2005,Boston,performance environmental;outcomes
