"Title","Year","Keywords","Agency"
"""Where have all the volunteers gone?” Is it the economy?","2022","Pandemic; Coronavirus disease 2019 (COVID-19); Recession; Social distance; Outbreak; Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); 2019-20 coronavirus outbreak; Isolation (microbiology); Workforce; Medicine; Global recession; Economic sector; Development economics; Coronavirus; Economic growth; Economics; Virology; Economy; Disease; Pathology; Infectious disease (medical specialty); Keynesian economics; Microbiology; Biology","Atlanta"
"A Change of PACE: A Comparison of the 1994 and 1999 Pollution Abatement Costs and Expenditures Survey","2005","Endogeneity; Economics; Trade volume; Haven; Pollution haven hypothesis; Pollution; Econometrics; International economics; Natural resource economics; Agricultural economics; International trade; Environmental regulation; Ecology; Mathematics; Combinatorics; Biology","Boston"
"A Change of PACE: A Comparison of the 1994 and 1999 Pollution Abatement Costs and Expenditures Survey","2005","Endogeneity; Economics; Trade volume; Haven; Pollution haven hypothesis; Pollution; Econometrics; International economics; Natural resource economics; Agricultural economics; International trade; Environmental regulation; Ecology; Mathematics; Combinatorics; Biology","Boston"
"A Closer Look at the Managed Care Backlash","2006","Managed care; Popularity; Health plan; Demographic economics; Demography; Health care; Fell; Business; Medicine; Gerontology; Actuarial science; Psychology; Economics; Geography; Economic growth; Sociology; Social psychology; Cartography","Washington"
"A Comparison of Firm Age in the Survey of Business Owners and the Longitudinal Business Database","2020","Database; Interpretation (philosophy); Business; Measure (data warehouse); Longitudinal data; Survey data collection; Statistics; Computer science; Data mining; Mathematics; Programming language","Atlanta"
"A Comparison of Upward and Downward Intergenerational Mobility in Canada, Sweden and the United States","2014","Earnings; Social mobility; Demographic economics; Economics; Distribution (mathematics); Inequality; Income distribution; Labour economics; Econometrics; Sociology; Mathematics; Mathematical analysis; Social science; Accounting","Chicago"
"A Comparison of Upward and Downward Intergenerational Mobility in Canada, Sweden and the United States","2014","Earnings; Social mobility; Demographic economics; Economics; Distribution (mathematics); Inequality; Income distribution; Labour economics; Econometrics; Sociology; Mathematics; Mathematical analysis; Social science; Accounting","Chicago"
"A Comprehensive Overview of Unit Level Modeling of Survey Data for Small Area Estimation Under Informative Sampling","2023","Sampling (signal processing); Unit (ring theory); Small area estimation; Computer science; Estimation; Bayesian probability; Sampling design; Data mining; Survey data collection; Statistics; Econometrics; Artificial intelligence; Mathematics; Engineering; Population; Mathematics education; Demography; Systems engineering; Filter (signal processing); Sociology; Computer vision","Missouri"
"A Concordance Between Ten-Digit U.S. Harmonized System Codes and SIC/NAICS Product Classes and Industries","2012","Product (mathematics); Matching (statistics); Computer science; Production (economics); Concordance; International trade; Yield (engineering); Industrial organization; Economics; Mathematics; Microeconomics; Statistics; Medicine; Materials science; Geometry; Internal medicine; Metallurgy","Boston"
"A Crosswalk from the Business R&D and Innovation Survey (BRDIS) and the Survey of Industrial Research and Development (SIRD) to the Longitudinal Business Database (LBD) and the Standard Statistical Establishment List (SSEL)","2023","business; data; ssel; brdis; sird","Philadelphia"
"A Dynamic Approach to Explain Flood Risk Exposures and Household Choice","2023","Vulnerability (computing); Social vulnerability; Psychological resilience; Adaptive capacity; Environmental resource management; Hazard; Harm; Vulnerability assessment; Resilience (materials science); Adaptation (eye); Climate change; Psychology; Ecology; Social psychology; Economics; Computer science; Computer security; Biology; Physics; Neuroscience; Thermodynamics","Kentucky"
"A Firm's Information Environment and Employee Wages","2018","Business; Labour economics; Economics","Boston"
